Name, h0, h1, h2, h3, h4, h5, h6, h7, h8, h9, h10, h11, h12, h13, h14, h15, h16, h17, h18, h19, h20, h21, h22, h23, h24, h25, h26, h27, h28, h29, v0, v1, v2, v3, v4, v5, v6, v7, v8, v9, v10, v11, v12, v13, v14, v15, v16, v17, v18, v19, v20, v21, v22, v23, v24, v25, v26, v27, v28, v29
Average variance in picture, 0.964851544657, 1.0636623882, 2.29741555475, 4.0579699305, 4.69191987997, 4.25194712684, 3.6638066363, 3.87409633458, 4.1241842636, 4.03638346845, 3.97891484464, 4.41073579891, 4.20436395044, 4.08010578194, 4.35276853967, 4.29641472221, 4.23652771656, 4.02616144212, 4.06174620347, 3.90851464519, 3.45434413859, 3.11968051716, 2.83716258632, 2.46245497812, 2.44729824186, 2.67860186187, 2.90005030875, 2.43167225405, 1.50671866722, 1.08644913696, 0.978800870831, 1.20829337572, 2.5524079194, 2.25199253828, 3.72717429534, 4.76406886511, 4.82718008308, 6.77309594725, 5.1750174745, 4.43868253396, 3.74797985869, 3.87920467649, 4.23749471313, 4.45162479465, 4.47551655514, 4.40737802353, 4.05019566989, 4.29002951744, 5.24650220602, 5.5147965612, 4.91537889615, 4.22188297205, 3.71060179064, 3.40167577122, 3.38282289983, 3.46337834409, 2.31030528064, 2.43236143945, 1.18740500327, 0.970785306282
Average variance in set, 1.23526122825, 4.52762296567, 19.4079523152, 33.5153591863, 37.2712996732, 31.5483352771, 28.2080119998, 29.3511693837, 30.7178448871, 29.7713094653, 29.8396437442, 30.3519430262, 30.0981635561, 30.4281020415, 30.8840650579, 31.0491638769, 31.2586684636, 30.7530568776, 29.5895026969, 29.2039607391, 27.7029454654, 25.9918212521, 24.3309465473, 23.163761366, 22.9639069556, 25.7795676889, 30.8334028288, 30.0616926292, 14.9613331995, 3.34651961851, 1.21731762666, 2.90749177219, 17.82960101, 30.9856326007, 32.5409528297, 38.7946345575, 50.0372266058, 50.5608973383, 45.0913970685, 37.7389039775, 34.6067994276, 34.4588925678, 35.5403865825, 37.4584556227, 38.4965904109, 36.3392444497, 34.1457240453, 36.364097673, 40.275186463, 41.5165536665, 38.8129188529, 33.8425953298, 30.9954653722, 29.789820609, 31.4955563093, 36.9249334003, 33.5940561062, 15.9693166172, 3.06462405227, 1.21626650768
Quotient, 0.781091094412, 0.234927333009, 0.118374958751, 0.121077918573, 0.125885598869, 0.134775641551, 0.129885318977, 0.13199120907, 0.134260208643, 0.13557964164, 0.133343242257, 0.145319717921, 0.139688388051, 0.134090051899, 0.140938977156, 0.138374570705, 0.135531291792, 0.130919064669, 0.137269836708, 0.133835087648, 0.124692305477, 0.120025468277, 0.116607160383, 0.106306352376, 0.106571510092, 0.10390406442, 0.094055473697, 0.0808893991449, 0.100707513637, 0.32465046102, 0.804063663741, 0.415579293216, 0.143155638646, 0.0726786045421, 0.114537958211, 0.12280226169, 0.0964717753266, 0.133959172084, 0.114767290679, 0.117615565534, 0.108301834341, 0.112574850421, 0.119230405761, 0.118841653257, 0.116257479101, 0.12128425041, 0.118615017931, 0.117974315106, 0.130266366633, 0.132833678959, 0.126642856075, 0.12475056747, 0.119714343569, 0.114189199588, 0.107406354935, 0.0937951141723, 0.0687712514778, 0.152314685579, 0.387455356031, 0.798168246968
